age,wage,educ
32,22636,high school diploma or equivalent
47,90000,master's degree
37,120000,master's degree
37,28000,high school diploma or equivalent
33,95000,high school diploma or equivalent
35,50000,bachelor's degree
36,40000,high school diploma or equivalent
40,9360,high school diploma or equivalent
48,229339,doctorate degree
45,91000,some college but no degree
20,15000,high school diploma or equivalent
42,58000,bachelor's degree
27,20800,high school diploma or equivalent
48,14560,"12th grade, no diploma"
32,58000,master's degree
38,50000,high school diploma or equivalent
33,50000,professional school degree
42,40000,some college but no degree
35,0,"associate's degree, occupational/vocational program"
44,44000,high school diploma or equivalent
49,17700,high school diploma or equivalent
38,40000,some college but no degree
37,20000,high school diploma or equivalent
48,0,"associate's degree, occupational/vocational program"
48,55000,high school diploma or equivalent
27,23223,some college but no degree
26,30000,grade 11
49,46000,some college but no degree
38,28184,"associate's degree, academic program"
34,31200,some college but no degree
37,56000,bachelor's degree
38,35000,high school diploma or equivalent
27,20000,high school diploma or equivalent
50,24000,high school diploma or equivalent
27,43000,grade 10
46,53700,bachelor's degree
36,0,grade 9
24,31200,high school diploma or equivalent
47,25000,grade 11
46,84000,bachelor's degree
48,22000,high school diploma or equivalent
35,35000,high school diploma or equivalent
38,36400,high school diploma or equivalent
44,50000,bachelor's degree
35,39000,grade 10
36,0,grade 10
28,25000,bachelor's degree
36,33000,grade 11
49,36400,high school diploma or equivalent
40,0,high school diploma or equivalent
29,55000,high school diploma or equivalent
38,22000,grade 11
33,0,bachelor's degree
25,22880,high school diploma or equivalent
28,41800,bachelor's degree
30,9000,doctorate degree
46,130000,master's degree
44,75000,master's degree
35,0,some college but no degree
43,70200,some college but no degree
38,60000,bachelor's degree
49,229339,bachelor's degree
37,25000,bachelor's degree
50,28000,high school diploma or equivalent
39,43000,"associate's degree, occupational/vocational program"
39,0,bachelor's degree
32,75000,bachelor's degree
43,229339,professional school degree
27,19980,bachelor's degree
39,24000,high school diploma or equivalent
46,229339,bachelor's degree
33,25000,high school diploma or equivalent
28,95000,master's degree
30,14000,bachelor's degree
40,44792,"associate's degree, academic program"
50,3200,high school diploma or equivalent
32,40000,bachelor's degree
49,0,grade 9
44,0,some college but no degree
42,46163,master's degree
24,25000,"associate's degree, academic program"
37,0,high school diploma or equivalent
30,25575,grades 7 or 8
42,47000,"associate's degree, occupational/vocational program"
23,35000,bachelor's degree
29,27000,some college but no degree
42,105000,doctorate degree
39,58000,master's degree
47,42000,some college but no degree
26,47000,some college but no degree
27,30000,some college but no degree
30,229339,bachelor's degree
40,31000,some college but no degree
29,65000,bachelor's degree
23,40000,high school diploma or equivalent
22,25000,high school diploma or equivalent
50,15000,some college but no degree
31,30000,master's degree
32,60762,high school diploma or equivalent
40,15200,high school diploma or equivalent
27,28000,high school diploma or equivalent
21,24960,some college but no degree
25,21840,some college but no degree
37,45000,some college but no degree
32,45000,high school diploma or equivalent
36,8000,high school diploma or equivalent
43,40000,high school diploma or equivalent
24,67000,bachelor's degree
22,14000,some college but no degree
38,60000,bachelor's degree
46,43200,high school diploma or equivalent
40,40000,"associate's degree, academic program"
43,54000,bachelor's degree
45,229339,bachelor's degree
45,12000,bachelor's degree
48,150000,high school diploma or equivalent
40,100037,bachelor's degree
49,0,grade 9
49,18000,grades 7 or 8
46,55000,bachelor's degree
36,100000,bachelor's degree
31,72000,bachelor's degree
34,35000,bachelor's degree
29,38000,bachelor's degree
30,50000,bachelor's degree
41,40000,high school diploma or equivalent
35,47500,high school diploma or equivalent
38,50000,high school diploma or equivalent
23,29000,bachelor's degree
27,15080,grades 5 or 6
49,10000,high school diploma or equivalent
43,54000,bachelor's degree
29,0,bachelor's degree
39,0,bachelor's degree
48,39000,doctorate degree
45,0,"12th grade, no diploma"
33,48000,bachelor's degree
36,21000,high school diploma or equivalent
38,10000,high school diploma or equivalent
20,9800,some college but no degree
40,7800,high school diploma or equivalent
20,0,"12th grade, no diploma"
40,0,high school diploma or equivalent
22,24000,"associate's degree, academic program"
21,0,bachelor's degree
33,62000,bachelor's degree
40,229339,bachelor's degree
36,27000,some college but no degree
47,90000,master's degree
41,50000,high school diploma or equivalent
31,60000,master's degree
37,21000,high school diploma or equivalent
27,240,bachelor's degree
33,20000,master's degree
32,10400,grade 11
47,229339,"associate's degree, academic program"
35,0,high school diploma or equivalent
40,55500,high school diploma or equivalent
29,70000,"associate's degree, academic program"
49,0,grades 7 or 8
43,14000,high school diploma or equivalent
31,0,bachelor's degree
45,115000,bachelor's degree
33,98000,high school diploma or equivalent
33,47000,some college but no degree
45,40000,bachelor's degree
35,50000,high school diploma or equivalent
44,32000,high school diploma or equivalent
43,25000,high school diploma or equivalent
35,17000,high school diploma or equivalent
29,5000,some college but no degree
21,11000,"grades 1, 2, 3, or 4"
20,3631,grades 5 or 6
30,30000,grades 5 or 6
21,0,"associate's degree, academic program"
21,0,"associate's degree, academic program"
49,85000,master's degree
50,229339,professional school degree
25,3000,bachelor's degree
45,13520,bachelor's degree
33,0,grade 9
38,0,high school diploma or equivalent
37,40000,high school diploma or equivalent
39,28000,high school diploma or equivalent
34,33880,high school diploma or equivalent
39,0,high school diploma or equivalent
29,33000,bachelor's degree
42,53000,some college but no degree
35,0,doctorate degree
43,23000,high school diploma or equivalent
43,40000,high school diploma or equivalent
28,40000,bachelor's degree
27,21000,high school diploma or equivalent
42,70000,bachelor's degree
43,39000,master's degree
36,60000,"associate's degree, academic program"
38,110000,master's degree
27,43400,grade 11
21,3000,high school diploma or equivalent
37,7000,grade 10
35,0,bachelor's degree
39,26000,some college but no degree
29,25000,bachelor's degree
45,0,high school diploma or equivalent
37,30420,high school diploma or equivalent
28,65000,bachelor's degree
37,50000,high school diploma or equivalent
27,64000,bachelor's degree
25,11384,bachelor's degree
25,0,professional school degree
50,40000,high school diploma or equivalent
21,2700,some college but no degree
44,33000,high school diploma or equivalent
40,0,high school diploma or equivalent
37,108000,master's degree
43,53000,bachelor's degree
35,27000,bachelor's degree
31,32200,master's degree
23,35000,high school diploma or equivalent
45,78000,bachelor's degree
38,30000,doctorate degree
29,45000,master's degree
35,50000,bachelor's degree
45,0,"associate's degree, academic program"
41,0,high school diploma or equivalent
20,11700,grade 11
29,50000,bachelor's degree
44,135000,master's degree
40,85000,professional school degree
37,150000,professional school degree
38,15000,high school diploma or equivalent
32,25000,high school diploma or equivalent
36,33280,grade 11
49,19760,high school diploma or equivalent
31,82000,bachelor's degree
33,14000,grades 5 or 6
23,13000,grades 5 or 6
22,5000,grades 5 or 6
22,8000,"grades 1, 2, 3, or 4"
22,9000,grades 5 or 6
28,23000,bachelor's degree
20,0,high school diploma or equivalent
47,21000,"12th grade, no diploma"
26,9496,bachelor's degree
47,50000,bachelor's degree
24,15000,high school diploma or equivalent
35,105000,doctorate degree
45,30000,high school diploma or equivalent
37,55000,master's degree
31,1210,high school diploma or equivalent
37,28000,"grades 1, 2, 3, or 4"
30,50000,some college but no degree
38,0,bachelor's degree
28,42000,high school diploma or equivalent
50,150000,bachelor's degree
46,7000,bachelor's degree
48,87000,master's degree
45,92000,master's degree
28,30000,bachelor's degree
39,35000,master's degree
38,62000,master's degree
41,0,bachelor's degree
37,60000,"associate's degree, academic program"
32,21732,high school diploma or equivalent
46,100000,some college but no degree
32,15000,high school diploma or equivalent
45,55000,bachelor's degree
34,21000,high school diploma or equivalent
49,82000,professional school degree
20,3300,some college but no degree
33,54000,bachelor's degree
